,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
7,a-ha - Take On Me (Official Music Video).mp3,83.35433468,78296,1134.724638,0.43487058,0.29654103,0.087936583,0.625897047,0.234292903,0.054893164,0.274247079,0.090121436,0.008121873,0.936142094,6.600155297,43.56204995,-2.518212054,51.80676004,2683.940386,0.012671567,2.668619734,7.121531287,0.059781123,0.026562354,0.000705559,2741.885362,804.2624053,646838.0167,2768.990983,346.9372125,120365.4294,19.65003764,6.808475262,46.3553354,5980.759668,1455.717484,2119113.392,0.757286162,0.934182546,0.872697029,-0.002866608,0.045444378,0.002065191,0.12585487,0.072799415,0.005299755,-5.54E-06,0.043286067,0.001873684,-6.87E-05,0.033048626,0.001092212,4.324716553,1.140898123,1.301648527
8,Anne-Marie - 2002 [Official Video].mp3,129.1992188,160960,1267.401575,0.357854245,0.306462506,0.093919268,0.500734496,0.296409025,0.08785831,0.259877203,0.125686805,0.015797173,17.08704806,168.6835723,28454.14755,-0.218861054,38.65448315,1494.169067,0.012853997,3.991667073,15.93340602,0.24405092,0.147850111,0.021859657,3103.357477,1244.538983,1548877.28,2842.201001,538.0631565,289511.9604,21.5131921,6.867655551,47.16469277,6587.489333,2159.596012,4663854.937,2.390025298,3.285261873,10.79294557,0.006218045,0.075487169,0.005698313,0.147750051,0.121746975,0.014822326,9.47E-06,0.214018106,0.045803752,0.00020494,0.142271414,0.020241156,2.972154195,1.712241408,2.93177064
9,Ariana Grande - Side To Side ft. Nicki Minaj.mp3,161.4990234,203031,1285.006329,0.366118331,0.320589117,0.102777382,0.447369256,0.299823192,0.089893947,0.253151505,0.138735897,0.019247649,16.83729186,157.2211183,24718.48005,1.220546912,37.66871841,1418.932346,0.007029404,3.738575835,13.97694927,0.245608822,0.122481741,0.015001777,2483.35254,947.7805708,898288.0104,2544.615504,595.7427827,354909.4631,21.34744403,6.944476671,48.22575623,5163.689609,2034.98219,4141152.514,2.352793916,2.940261897,8.645140023,-0.007610999,0.08374566,0.007013336,0.103275453,0.076087565,0.005789318,-7.95E-07,0.221754968,0.049175266,0.000778673,0.109825708,0.012061685,2.536780045,1.542666317,2.379819365
10,Armin van Buuren - Blah Blah Blah (Official Lyric Video).mp3,135.9991776,166807,1603.913462,0.381846151,0.305042414,0.093050874,0.364026758,0.302817799,0.091698619,0.206547985,0.201671176,0.040671263,5.991384287,61.99828058,3843.786795,3.097075756,46.93357576,2202.760533,0.013204987,1.75319617,3.073696809,0.15173994,0.085099131,0.007241862,2593.949728,1315.652896,1730942.543,2297.846029,897.5068577,805518.5597,20.49333819,6.25603017,39.13791348,5237.38083,2798.244002,7830169.493,2.021298299,2.590367997,6.710006359,-0.038773512,0.093124193,0.008672115,0.135767887,0.087402951,0.007639276,-4.72E-06,0.133123159,0.017721776,-5.30E-05,0.069762304,0.004866779,11.47878458,3.883396149,15.08076565
11,Avicii - Lonely Together ft. Rita Ora.mp3,103.359375,130112,1414.26087,0.27992663,0.309733616,0.095934913,0.422970496,0.296297949,0.087792475,0.242806353,0.156135865,0.024378408,10.78449553,105.5189236,11134.24324,-2.634649702,47.98400014,2302.46427,0.014385178,2.560958248,6.55850715,0.193413153,0.108605653,0.011795188,1933.387227,900.6827985,811229.5035,2174.652556,779.265214,607254.2737,22.13965482,5.779973342,33.40809184,3944.630314,2044.759728,4181042.343,2.031788211,2.813779423,7.91735464,-0.00070362,0.090020214,0.008103639,0.077015596,0.048198116,0.002323058,-1.76E-05,0.179352596,0.032167353,2.42E-05,0.086207971,0.007431814,2.425324263,1.11876997,1.251646245
12,Avicii - Wake Me Up (Official Video).mp3,123.046875,159406,1295.98374,0.370709891,0.291968824,0.085245794,0.479370644,0.267165214,0.071377252,0.257302328,0.130877216,0.017128846,0.41305027,3.077181511,9.469046054,-6.849601712,59.92241376,3590.695671,0.014780775,2.629921895,6.916489172,0.040492214,0.017965615,0.000322763,2441.102397,1004.510135,1009040.611,2506.35157,557.03464,310287.5902,21.94038309,7.196191874,51.78517748,5263.593172,1930.924011,3728467.535,0.487394229,0.586441929,0.343914136,-0.008072586,0.071645865,0.00513313,0.112816022,0.074069986,0.005486363,-0.000597844,0.031981111,0.001022791,-0.000503869,0.019451596,0.000378365,2.79568254,1.431457002,2.04906915
14,"Balam Pichkari Remix Song Video Yeh Jawaani Hai Deewani   Ranbir Kapoor, Deepika Padukone.mp3",129.1992188,164367,1284.117188,0.39835572,0.296655734,0.088004624,0.525515611,0.266636287,0.07109491,0.26555534,0.113197592,0.012813695,3.237490623,23.76596382,564.8210362,-3.275155688,34.66589161,1201.724041,0.01259131,2.741538818,7.51603509,0.115305044,0.055301059,0.003058207,3171.378431,693.3691929,480760.8376,2784.596381,365.4455536,133550.4527,20.0910523,7.025504978,49.35772019,6541.843776,1427.788859,2038581.025,1.61060242,1.987319737,3.949439736,-0.008141396,0.062331886,0.003885264,0.169158085,0.067113471,0.004504218,-3.31E-06,0.085843928,0.00736918,3.14E-06,0.064956069,0.004219291,3.102185941,1.451133848,2.105789444
15,Bang Bang Title Track Full Video   BANG BANG   Hrithik Roshan Katrina Kaif   Vishal Shekhar Benny D.mp3,123.046875,154290,1285.75,0.419740567,0.305542282,0.093356086,0.539385555,0.271089458,0.073489494,0.268757725,0.105368963,0.011102618,9.608373268,119.0897947,14182.37921,-0.226477762,46.61039986,2172.529375,0.010320906,4.204601591,17.67867454,0.166651234,0.117282815,0.013755258,2348.234978,990.2686544,980632.0078,2492.122262,724.000386,524176.5589,20.83763161,7.073958819,50.04089337,5259.126532,2196.467856,4824471.042,1.558005117,2.135586232,4.560728554,0.008696215,0.055633765,0.003095116,0.084696767,0.058880283,0.003466888,-9.13E-06,0.111526489,0.012438159,7.85E-06,0.129496902,0.016769448,3.662947846,1.915834472,3.670421723
16,"Beedi (Video Song)   Omkara   Ajay Devgn, Saif Ali Khan & Bipasha Basu.mp3",95.703125,120923,1286.414894,0.325056692,0.304477381,0.092706475,0.487855963,0.28498516,0.081216541,0.253416831,0.138250652,0.019113243,4.002886091,33.07746993,1094.119017,-2.051121366,41.92758598,1757.922466,0.013243725,2.793657797,7.804523885,0.119287215,0.061198108,0.003745208,2216.649277,863.9761571,746454.8001,2356.675429,532.5280413,283586.1147,20.37393924,6.493248986,42.16228239,4655.551015,1812.715723,3285938.293,1.435693767,1.78847724,3.198650839,0.003829914,0.068607702,0.004707017,0.098902274,0.070778558,0.005009604,-0.000144383,0.100278161,0.01005571,-0.000539411,0.058996998,0.003480646,2.166421769,1.259885297,1.587310961
17,benny blanco & Calvin Harris - I Found You (Official Music Video).mp3,123.046875,155854,1277.491803,0.376036499,0.300773689,0.090464812,0.427449637,0.286212486,0.081917587,0.237619841,0.163921154,0.026870145,10.453455,107.7552648,11611.19709,-0.412022737,42.61594319,1816.118614,0.012584777,3.050247693,9.304010987,0.189306647,0.106225185,0.011283791,1912.394425,849.2546766,721233.5056,2129.969725,564.052596,318155.331,20.76170026,6.2108739,38.5749546,3876.209894,1915.848651,3670476.055,2.321056488,3.041966096,9.253557728,-0.019970848,0.087506323,0.007657357,0.077013707,0.049194535,0.002420102,0.000417876,0.165637836,0.027435891,0.001288465,0.099436834,0.009887684,6.391292517,3.590144974,12.88914093
