Quotes,Class,,,,,,,,,,,,,,,,,,,,,,,,
do not cry because it is over smile because it happened,Happy,,,,,,,,,,,,,,,,,,,,,,,,
for every minute you are angry you lose sixty seconds of happiness,Happy,,,,,,,,,,,,,,,,,,,,,,,,
you will never be happy if you continue to search for what happiness consists of  you will never live if you are looking for the meaning of life,Happy,,,,,,,,,,,,,,,,,,,,,,,,
happiness is the art of never holding in your mind the memory of any unpleasant thing that has passed,Happy,,,,,,,,,,,,,,,,,,,,,,,,
to be happy we must not be too concerned with others,Happy,,,,,,,,,,,,,,,,,,,,,,,,
the moments of happiness we enjoy take us by surprise It is not that we seize them but that they seize us,Happy,,,,,,,,,,,,,,,,,,,,,,,,
it is not what you have or who you are or where you are or what you are doing that makes you happy or unhappy It is what you think about,Happy,,,,,,,,,,,,,,,,,,,,,,,,
there is only one way to happiness and that is to cease worrying about things which are beyond the power of our will,Happy,,,,,,,,,,,,,,,,,,,,,,,,
we tend to forget that happiness does not come as a result of getting something we dont have but rather of recognizing and appreciating what we do have,Happy,,,,,,,,,,,,,,,,,,,,,,,,
sometimes your joy is the source of your smile but sometimes your smile can be the source of your joy,Happy,,,,,,,,,,,,,,,,,,,,,,,,
happy people plan actions they do not plan results,Happy,,,,,,,,,,,,,,,,,,,,,,,,
happiness is when what you think what you say and what you do are in harmony,Happy,,,,,,,,,,,,,,,,,,,,,,,,
the only joy in the world is to begin,Happy,,,,,,,,,,,,,,,,,,,,,,,,
some cause happiness wherever they go others whenever they go,Happy,,,,,,,,,,,,,,,,,,,,,,,,
success is not the key to happiness happiness is the key to success,Happy,,,,,,,,,,,,,,,,,,,,,,,,
there is only one cause of unhappiness the false beliefs you have in your head beliefs so widespread so commonly held that it never occurs to you to question them,Happy,,,,,,,,,,,,,,,,,,,,,,,,
happiness is not something readymade it comes from your own actions,Happy,,,,,,,,,,,,,,,,,,,,,,,,
happiness depends upon ourselves,Happy,,,,,,,,,,,,,,,,,,,,,,,,
happiness is having a large loving caring closeknit family in another city,Happy,,,,,,,,,,,,,,,,,,,,,,,,
