Quotes,Class
life is about right now in this very moment not tomorrow not yesterday but now live it,motivation
having a great dream and belief in yourself is great but nothing happens until you take action,motivation
if we aim high and fall short we still achieve more than by aiming low and falling short,motivation
set your goals high and do something everyday to move forward,motivation
our greatest glory is not in never falling but in rising every time we fall,motivation
life is really simple but we insist on making it complicated,motivation
the two enemies of human happiness are pain and boredom,motivation
believe in yourself have faith in your abilities without a humble but reasonable confidence in your own powers you cannot be successful or happy,motivation
press forward do not stop do not linger in your journey but strive for the mark set before you,motivation
the future belongs to those who believe in the beauty of their dreams,motivation
aim for the moon if you miss you may hit a star,motivation
do not watch the clock do what it does keep going,motivation
there will be obstacles there will be doubters there will be mistakes but with hard work there are no limits,motivation
keep your eyes on the stars and your feet on the ground,motivation
we aim above the mark to hit the mark,motivation
one way to keep momentum going is to have constantly greater goals,motivation
change your life today do not gamble on the future act now without delay,motivation
you just cannot beat the person who never gives up,motivation
start where you are use what you have do what you can,motivation
never give up for that is just the place and time that the tide will turn,motivation
the way to get started is to quit talking and begin doing,motivation
the pessimist sees difficulty in every opportunity the optimist sees opportunity in every difficulty,motivation
do not let yesterday take up too much of today,motivation
it is not whether you get knocked down it is whether you get up,motivation
failure will never overtake me if my determination to succeed is strong enough,motivation
we may encounter many defeats but we must not be defeated,motivation
knowing is not enough we must apply wishing is not enough we must do,motivation
we generate fears while we sit we overcome them by action,motivation
things work out best for those who make the best of how things work out,motivation
i think goals should never be easy they should force you to work even if they are uncomfortable at the time,motivation
todays accomplishments were yesterdays impossibilities,motivation
the only way to do great work is to love what you do if you have not found it yet keep looking do not settle,motivation
you do not have to be great to start but you have to start to be great,motivation
there are no limits to what you can accomplish except the limits you place on your own thinking,motivation
integrity is the most valuable and respected quality of leadership always keep your word,motivation
all our dreams can come true if we have the courage to pursue them,motivation
there is only one thing that makes a dream impossible to achieve the fear of failure,motivation
definiteness of purpose is the starting point of all achievement,motivation
too many of us are not living our dreams because we are living our fears,motivation
start by doing what is necessary then do what is possible and suddenly you are doing the impossible,motivation
i attribute my success to this i never gave or took any excuse,motivation
strength does not come from physical capacity it comes from an indomitable will,motivation
 the future belongs to those who believe in the beauty of their dreams,motivation
